USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kaustubh           939   0.0  0.1 426933760   8448   ??  Ss    5:40PM   0:00.04 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh           938   0.0  0.1 426966768  15424   ??  S     5:40PM   0:00.21 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
kaustubh           921   0.0  0.1 426970816  23088   ??  S     5:40PM   0:00.29 /usr/libexec/adprivacyd
kaustubh           920   0.0  0.1 426967904  19456   ??  S     5:40PM   0:00.13 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
kaustubh           918   0.0  0.1 426972336  20992   ??  S     5:40PM   0:00.77 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
kaustubh           916   0.0  0.1 426967120  13760   ??  S     5:40PM   0:00.24 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
kaustubh           913   0.0  0.0 426929152   4304   ??  S     5:40PM   0:00.01 /usr/libexec/spindump_agent
root               912   0.0  0.1 426935776  10848   ??  Ss    5:40PM   0:00.03 /usr/sbin/spindump
kaustubh           910   0.0  0.0 426933120   8192   ??  S     5:40PM   0:00.03 /usr/libexec/metrickitd
kaustubh           907   0.0  0.1 426957808  19696   ??  Ss    5:40PM   0:00.12 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh           906   0.0  0.1 426957808  20336   ??  Ss    5:40PM   0:00.21 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root               905   0.0  0.2 426982400  40144   ??  Ss    5:40PM   0:15.28 /usr/libexec/PerfPowerServices
kaustubh           904   0.0  0.1 410631568   9120   ??  Ss    5:40PM   0:00.02 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
kaustubh           903   0.0  0.1 410623376   9024   ??  Ss    5:40PM   0:00.02 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
